Year,Month,DayofWeek,HourRange,CountofCollisions,NoofFatalities,CountofInjuryCollsn,CountOfPedestrianCollsn,CountofFatalityCollsn
2014,March,Tuesday,Late Night,16,0,6,0,0
2014,March,Tuesday,Mid Morning,132,0,20,5,0
2014,March,Tuesday,Morning Rush,89,0,13,4,0
2014,March,Tuesday,Night,22,0,3,0,0
2014,March,Wednesday,Early Afternoon,175,0,14,3,0
2014,March,Wednesday,Early Morning,6,0,0,1,0
2014,March,Wednesday,Evening,109,0,11,7,0
2014,March,Wednesday,Late Afternoon,210,0,17,2,0
2014,March,Wednesday,Late Night,8,0,2,1,0
2014,March,Wednesday,Mid Morning,195,0,18,3,0
2014,March,Wednesday,Morning Rush,81,0,12,6,0
2014,March,Wednesday,Night,39,0,9,2,0
2014,May,Friday,Early Afternoon,193,0,19,4,0
2014,May,Friday,Early Morning,8,0,1,0,0
2014,May,Friday,Evening,130,0,26,3,0
2014,May,Friday,Late Afternoon,248,0,25,5,0
2014,May,Friday,Late Night,18,0,1,1,0
2014,May,Friday,Mid Morning,170,0,30,7,0
2014,May,Friday,Morning Rush,102,0,14,4,0
2014,May,Friday,Night,64,0,9,2,0
2014,May,Monday,Early Afternoon,100,0,13,5,0
2014,May,Monday,Early Morning,9,0,2,1,0
2014,May,Monday,Evening,72,0,9,2,0
2014,May,Monday,Late Afternoon,164,0,20,2,0
2014,May,Monday,Late Night,9,0,2,0,0
2014,May,Monday,Mid Morning,97,0,17,5,0
2014,May,Monday,Morning Rush,86,0,17,1,0
2014,May,Monday,Night,38,0,6,3,0
2014,May,Saturday,Early Afternoon,215,0,29,4,0
2014,May,Saturday,Early Morning,14,0,3,1,0
2014,May,Saturday,Evening,93,0,13,0,0
2014,May,Saturday,Late Afternoon,169,0,33,4,0
2014,May,Saturday,Late Night,31,1,7,3,1
2014,May,Saturday,Mid Morning,149,0,20,3,0
2014,May,Saturday,Morning Rush,30,0,5,1,0
2014,May,Saturday,Night,51,0,10,3,0
2014,May,Sunday,Early Afternoon,130,0,13,1,0
2014,May,Sunday,Early Morning,11,0,3,0,0
2014,May,Sunday,Evening,67,0,9,0,0
2014,May,Sunday,Late Afternoon,117,0,8,3,0
2014,May,Sunday,Late Night,27,0,4,0,0
2014,May,Sunday,Mid Morning,62,0,3,3,0
2014,May,Sunday,Morning Rush,22,0,2,0,0
2014,May,Sunday,Night,32,0,6,1,0
2014,May,Thursday,Early Afternoon,181,0,23,6,0
2014,May,Thursday,Early Morning,5,0,0,0,0
2014,May,Thursday,Evening,117,0,14,3,0
2014,May,Thursday,Late Afternoon,267,0,34,5,0
2014,May,Thursday,Late Night,23,0,3,2,0
2014,May,Thursday,Mid Morning,154,0,24,4,0
2014,May,Thursday,Morning Rush,108,0,20,4,0
2014,May,Thursday,Night,59,1,7,3,1
2014,May,Tuesday,Early Afternoon,148,0,12,3,0
2014,May,Tuesday,Early Morning,8,0,1,0,0
2014,May,Tuesday,Evening,106,0,14,4,0
2014,May,Tuesday,Late Afternoon,210,0,33,6,0
2014,May,Tuesday,Late Night,10,0,1,0,0
2014,May,Tuesday,Mid Morning,143,0,22,2,0
2014,May,Tuesday,Morning Rush,94,0,16,1,0
2014,May,Tuesday,Night,39,0,12,3,0
2014,May,Wednesday,Early Afternoon,143,0,14,1,0
2014,May,Wednesday,Early Morning,6,0,0,0,0
2014,May,Wednesday,Evening,126,0,22,1,0
2014,May,Wednesday,Late Afternoon,172,0,31,3,0
2014,May,Wednesday,Late Night,10,0,0,0,0
2014,May,Wednesday,Mid Morning,134,0,14,3,0
2014,May,Wednesday,Morning Rush,111,1,11,2,1
2014,May,Wednesday,Night,36,0,11,2,0
2014,November,Friday,Early Afternoon,192,1,19,3,1
2014,November,Friday,Early Morning,10,0,0,0,0
2014,November,Friday,Evening,145,0,16,5,0
2014,November,Friday,Late Afternoon,192,0,27,7,0
2014,November,Friday,Late Night,20,0,1,1,0
2014,November,Friday,Mid Morning,134,0,21,9,0
2014,November,Friday,Morning Rush,120,1,20,9,1
2014,November,Friday,Night,50,0,7,1,0
2014,November,Monday,Early Afternoon,179,0,23,4,0
2014,November,Monday,Early Morning,6,1,0,0,1
2014,November,Monday,Evening,116,1,18,9,1
2014,November,Monday,Late Afternoon,219,0,25,6,0
2014,November,Monday,Late Night,12,0,4,2,0
2014,November,Monday,Mid Morning,142,0,20,7,0
2014,November,Monday,Morning Rush,128,0,26,8,0
2014,November,Monday,Night,24,0,1,1,0
2014,November,Saturday,Early Afternoon,189,0,18,3,0
2014,November,Saturday,Early Morning,37,0,4,2,0
2014,November,Saturday,Evening,143,0,27,11,0
2014,November,Saturday,Late Afternoon,195,0,31,8,0
2014,November,Saturday,Late Night,34,0,3,3,0
2014,November,Saturday,Mid Morning,138,0,17,1,0
2014,November,Saturday,Morning Rush,32,0,6,0,0
