
,,,,Measures,"Number of collisions","Number of vehicles","Number of injured","Number of fatalities"
"Month","Year","Day of Week","Collision Hour","Collision Sev",
"October","2020","Saturday","15:00 to 17:59","Fatal collisions",5,7,2,6
"October","2020","Saturday","15:00 to 17:59","Injury collisions",218,396,304,0
"October","2020","Saturday","18:00 to 20:59","Fatal collisions",5,8,1,5
"October","2020","Saturday","18:00 to 20:59","Injury collisions",145,249,214,0
"October","2020","Saturday","21:00 to 23:59","Fatal collisions",5,6,4,6
"October","2020","Saturday","21:00 to 23:59","Injury collisions",114,177,147,0
"October","2020","Sunday","Midnight to 2:59","Fatal collisions",2,2,3,2
"October","2020","Sunday","Midnight to 2:59","Injury collisions",34,48,50,0
"October","2020","Sunday","3:00 to 5:59","Fatal collisions",1,2,2,2
"October","2020","Sunday","3:00 to 5:59","Injury collisions",25,29,28,0
"October","2020","Sunday","6:00 to 8:59","Fatal collisions",2,3,0,2
"October","2020","Sunday","6:00 to 8:59","Injury collisions",45,54,49,0
"October","2020","Sunday","9:00 to 11:59","Fatal collisions",1,2,0,1
"October","2020","Sunday","9:00 to 11:59","Injury collisions",88,153,128,0
"October","2020","Sunday","12:00 to 14:59","Fatal collisions",2,3,3,2
"October","2020","Sunday","12:00 to 14:59","Injury collisions",155,277,212,0
"October","2020","Sunday","15:00 to 17:59","Fatal collisions",4,5,6,5
"October","2020","Sunday","15:00 to 17:59","Injury collisions",162,286,227,0
"October","2020","Sunday","18:00 to 20:59","Fatal collisions",2,3,5,3
"October","2020","Sunday","18:00 to 20:59","Injury collisions",109,177,145,0
"October","2020","Sunday","21:00 to 23:59","Fatal collisions",3,4,0,3
"October","2020","Sunday","21:00 to 23:59","Injury collisions",71,100,87,0
"October","2020","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"October","2020","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"October","2020","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"October","2020","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"October","2020","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"October","2020","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"October","2020","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"October","2020","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"October","2020","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"October","2020","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"October","2020","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"October","2020","Unknown","15:00 to 17:59","Injury collisions",0,0,0,0
"October","2020","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"October","2020","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"October","2020","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"October","2020","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"October","2021","Total","Midnight to 2:59","Fatal collisions",20,28,24,23
"October","2021","Total","Midnight to 2:59","Injury collisions",267,364,360,0
"October","2021","Total","3:00 to 5:59","Fatal collisions",13,18,5,14
"October","2021","Total","3:00 to 5:59","Injury collisions",232,331,287,0
"October","2021","Total","6:00 to 8:59","Fatal collisions",25,40,16,27
"October","2021","Total","6:00 to 8:59","Injury collisions",1055,1881,1272,0
"October","2021","Total","9:00 to 11:59","Fatal collisions",16,24,11,17
"October","2021","Total","9:00 to 11:59","Injury collisions",993,1829,1311,0
"October","2021","Total","12:00 to 14:59","Fatal collisions",31,53,20,33
"October","2021","Total","12:00 to 14:59","Injury collisions",1410,2662,1900,0
"October","2021","Total","15:00 to 17:59","Fatal collisions",36,59,21,42
"October","2021","Total","15:00 to 17:59","Injury collisions",1837,3534,2456,0
"October","2021","Total","18:00 to 20:59","Fatal collisions",42,63,14,47
"October","2021","Total","18:00 to 20:59","Injury collisions",1346,2334,1777,0
"October","2021","Total","21:00 to 23:59","Fatal collisions",15,18,15,16
"October","2021","Total","21:00 to 23:59","Injury collisions",577,914,736,0
"October","2021","Monday","Midnight to 2:59","Fatal collisions",3,3,5,5
"October","2021","Monday","Midnight to 2:59","Injury collisions",17,25,20,0
"October","2021","Monday","3:00 to 5:59","Fatal collisions",1,1,0,1
"October","2021","Monday","3:00 to 5:59","Injury collisions",23,37,30,0
"October","2021","Monday","6:00 to 8:59","Fatal collisions",3,4,0,3
"October","2021","Monday","6:00 to 8:59","Injury collisions",170,316,204,0
"October","2021","Monday","9:00 to 11:59","Fatal collisions",3,5,2,3
"October","2021","Monday","9:00 to 11:59","Injury collisions",117,216,153,0
"October","2021","Monday","12:00 to 14:59","Fatal collisions",5,8,2,5
"October","2021","Monday","12:00 to 14:59","Injury collisions",176,342,239,0
"October","2021","Monday","15:00 to 17:59","Fatal collisions",4,6,3,4
"October","2021","Monday","15:00 to 17:59","Injury collisions",229,444,304,0
"October","2021","Monday","18:00 to 20:59","Fatal collisions",5,8,1,5
"October","2021","Monday","18:00 to 20:59","Injury collisions",174,295,223,0
"October","2021","Monday","21:00 to 23:59","Fatal collisions",2,2,0,2
"October","2021","Monday","21:00 to 23:59","Injury collisions",67,104,84,0
"October","2021","Tuesday","Midnight to 2:59","Fatal collisions",1,1,0,1
"October","2021","Tuesday","Midnight to 2:59","Injury collisions",21,25,26,0
"October","2021","Tuesday","3:00 to 5:59","Fatal collisions",0,0,0,0
"October","2021","Tuesday","3:00 to 5:59","Injury collisions",32,42,42,0
"October","2021","Tuesday","6:00 to 8:59","Fatal collisions",3,8,4,4
"October","2021","Tuesday","6:00 to 8:59","Injury collisions",166,312,201,0
"October","2021","Tuesday","9:00 to 11:59","Fatal collisions",4,4,0,4
"October","2021","Tuesday","9:00 to 11:59","Injury collisions",152,274,195,0
"October","2021","Tuesday","12:00 to 14:59","Fatal collisions",4,5,0,4
"October","2021","Tuesday","12:00 to 14:59","Injury collisions",166,320,225,0
"October","2021","Tuesday","15:00 to 17:59","Fatal collisions",6,12,4,7
"October","2021","Tuesday","15:00 to 17:59","Injury collisions",247,478,317,0
"October","2021","Tuesday","18:00 to 20:59","Fatal collisions",4,7,4,4
"October","2021","Tuesday","18:00 to 20:59","Injury collisions",164,283,212,0
"October","2021","Tuesday","21:00 to 23:59","Fatal collisions",0,0,0,0
"October","2021","Tuesday","21:00 to 23:59","Injury collisions",72,111,93,0
"October","2021","Wednesday","Midnight to 2:59","Fatal collisions",1,4,2,2
"October","2021","Wednesday","Midnight to 2:59","Injury collisions",27,34,36,0
"October","2021","Wednesday","3:00 to 5:59","Fatal collisions",1,2,0,1
"October","2021","Wednesday","3:00 to 5:59","Injury collisions",17,25,20,0
"October","2021","Wednesday","6:00 to 8:59","Fatal collisions",3,5,0,3
"October","2021","Wednesday","6:00 to 8:59","Injury collisions",199,360,240,0
"October","2021","Wednesday","9:00 to 11:59","Fatal collisions",2,3,0,2
"October","2021","Wednesday","9:00 to 11:59","Injury collisions",156,291,199,0
"October","2021","Wednesday","12:00 to 14:59","Fatal collisions",5,9,4,5
"October","2021","Wednesday","12:00 to 14:59","Injury collisions",187,336,220,0
"October","2021","Wednesday","15:00 to 17:59","Fatal collisions",3,6,5,4
"October","2021","Wednesday","15:00 to 17:59","Injury collisions",296,573,383,0
"October","2021","Wednesday","18:00 to 20:59","Fatal collisions",4,5,0,4
"October","2021","Wednesday","18:00 to 20:59","Injury collisions",193,334,259,0
"October","2021","Wednesday","21:00 to 23:59","Fatal collisions",2,2,1,2
"October","2021","Wednesday","21:00 to 23:59","Injury collisions",51,80,64,0
"October","2021","Thursday","Midnight to 2:59","Fatal collisions",2,2,3,2
"October","2021","Thursday","Midnight to 2:59","Injury collisions",26,35,38,0
"October","2021","Thursday","3:00 to 5:59","Fatal collisions",2,5,0,2
"October","2021","Thursday","3:00 to 5:59","Injury collisions",24,38,26,0
"October","2021","Thursday","6:00 to 8:59","Fatal collisions",5,6,1,5
"October","2021","Thursday","6:00 to 8:59","Injury collisions",179,325,211,0
"October","2021","Thursday","9:00 to 11:59","Fatal collisions",4,6,4,5
"October","2021","Thursday","9:00 to 11:59","Injury collisions",129,249,171,0
"October","2021","Thursday","12:00 to 14:59","Fatal collisions",1,2,2,1
"October","2021","Thursday","12:00 to 14:59","Injury collisions",187,345,241,0
"October","2021","Thursday","15:00 to 17:59","Fatal collisions",7,10,1,10
"October","2021","Thursday","15:00 to 17:59","Injury collisions",267,537,350,0
"October","2021","Thursday","18:00 to 20:59","Fatal collisions",4,6,0,5
"October","2021","Thursday","18:00 to 20:59","Injury collisions",181,334,248,0
"October","2021","Thursday","21:00 to 23:59","Fatal collisions",3,5,6,3
"October","2021","Thursday","21:00 to 23:59","Injury collisions",72,113,97,0
"October","2021","Friday","Midnight to 2:59","Fatal collisions",3,7,0,3
"October","2021","Friday","Midnight to 2:59","Injury collisions",32,44,39,0
"October","2021","Friday","3:00 to 5:59","Fatal collisions",1,2,0,1
"October","2021","Friday","3:00 to 5:59","Injury collisions",25,34,28,0
"October","2021","Friday","6:00 to 8:59","Fatal collisions",5,9,7,5
"October","2021","Friday","6:00 to 8:59","Injury collisions",183,329,223,0
"October","2021","Friday","9:00 to 11:59","Fatal collisions",1,2,1,1
"October","2021","Friday","9:00 to 11:59","Injury collisions",167,317,228,0
"October","2021","Friday","12:00 to 14:59","Fatal collisions",5,9,4,5
"October","2021","Friday","12:00 to 14:59","Injury collisions",282,548,385,0
"October","2021","Friday","15:00 to 17:59","Fatal collisions",6,10,4,6
"October","2021","Friday","15:00 to 17:59","Injury collisions",376,753,514,0
"October","2021","Friday","18:00 to 20:59","Fatal collisions",8,10,3,8
"October","2021","Friday","18:00 to 20:59","Injury collisions",286,501,379,0
"October","2021","Friday","21:00 to 23:59","Fatal collisions",5,6,8,6
"October","2021","Friday","21:00 to 23:59","Injury collisions",121,198,154,0
"October","2021","Saturday","Midnight to 2:59","Fatal collisions",4,4,1,4
"October","2021","Saturday","Midnight to 2:59","Injury collisions",77,114,109,0
"October","2021","Saturday","3:00 to 5:59","Fatal collisions",5,5,4,6
"October","2021","Saturday","3:00 to 5:59","Injury collisions",52,78,67,0
"October","2021","Saturday","6:00 to 8:59","Fatal collisions",3,5,3,4
"October","2021","Saturday","6:00 to 8:59","Injury collisions",91,141,116,0
"October","2021","Saturday","9:00 to 11:59","Fatal collisions",1,2,2,1
"October","2021","Saturday","9:00 to 11:59","Injury collisions",149,278,209,0
"October","2021","Saturday","12:00 to 14:59","Fatal collisions",7,12,2,8
"October","2021","Saturday","12:00 to 14:59","Injury collisions",231,429,338,0
"October","2021","Saturday","15:00 to 17:59","Fatal collisions",7,9,2,7
"October","2021","Saturday","15:00 to 17:59","Injury collisions",212,379,285,0
"October","2021","Saturday","18:00 to 20:59","Fatal collisions",9,11,3,13
"October","2021","Saturday","18:00 to 20:59","Injury collisions",182,310,240,0
"October","2021","Saturday","21:00 to 23:59","Fatal collisions",0,0,0,0
"October","2021","Saturday","21:00 to 23:59","Injury collisions",117,188,154,0
"October","2021","Sunday","Midnight to 2:59","Fatal collisions",6,7,13,6
"October","2021","Sunday","Midnight to 2:59","Injury collisions",67,87,92,0
"October","2021","Sunday","3:00 to 5:59","Fatal collisions",3,3,1,3
"October","2021","Sunday","3:00 to 5:59","Injury collisions",59,77,74,0
"October","2021","Sunday","6:00 to 8:59","Fatal collisions",3,3,1,3
"October","2021","Sunday","6:00 to 8:59","Injury collisions",67,98,77,0
"October","2021","Sunday","9:00 to 11:59","Fatal collisions",1,2,2,1
"October","2021","Sunday","9:00 to 11:59","Injury collisions",123,204,156,0
"October","2021","Sunday","12:00 to 14:59","Fatal collisions",4,8,6,5
"October","2021","Sunday","12:00 to 14:59","Injury collisions",181,342,252,0
"October","2021","Sunday","15:00 to 17:59","Fatal collisions",3,6,2,4
"October","2021","Sunday","15:00 to 17:59","Injury collisions",210,370,303,0
"October","2021","Sunday","18:00 to 20:59","Fatal collisions",8,16,3,8
"October","2021","Sunday","18:00 to 20:59","Injury collisions",166,277,216,0
"October","2021","Sunday","21:00 to 23:59","Fatal collisions",3,3,0,3
"October","2021","Sunday","21:00 to 23:59","Injury collisions",77,120,90,0
"October","2021","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"October","2021","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"October","2021","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"October","2021","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"October","2021","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"October","2021","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"October","2021","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"October","2021","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"October","2021","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"October","2021","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"October","2021","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"October","2021","Unknown","15:00 to 17:59","Injury collisions",0,0,0,0
"October","2021","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"October","2021","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"October","2021","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"October","2021","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"November","2010","Total","Midnight to 2:59","Fatal collisions",14,17,11,14
"November","2010","Total","Midnight to 2:59","Injury collisions",417,587,594,0
"November","2010","Total","3:00 to 5:59","Fatal collisions",14,18,7,16
"November","2010","Total","3:00 to 5:59","Injury collisions",363,521,457,0
"November","2010","Total","6:00 to 8:59","Fatal collisions",26,52,17,29
"November","2010","Total","6:00 to 8:59","Injury collisions",1631,2817,2040,0
"November","2010","Total","9:00 to 11:59","Fatal collisions",22,39,28,27
"November","2010","Total","9:00 to 11:59","Injury collisions",1517,2775,2048,0
"November","2010","Total","12:00 to 14:59","Fatal collisions",21,36,18,27
"November","2010","Total","12:00 to 14:59","Injury collisions",1975,3600,2669,0
"November","2010","Total","15:00 to 17:59","Fatal collisions",33,57,32,36
"November","2010","Total","15:00 to 17:59","Injury collisions",2678,5059,3564,0
"November","2010","Total","18:00 to 20:59","Fatal collisions",25,38,15,29
"November","2010","Total","18:00 to 20:59","Injury collisions",1725,2948,2422,0
"November","2010","Total","21:00 to 23:59","Fatal collisions",18,28,18,21
"November","2010","Total","21:00 to 23:59","Injury collisions",819,1320,1167,0
"November","2010","Monday","Midnight to 2:59","Fatal collisions",1,2,2,1
"November","2010","Monday","Midnight to 2:59","Injury collisions",32,42,40,0
"November","2010","Monday","3:00 to 5:59","Fatal collisions",3,3,0,3
"November","2010","Monday","3:00 to 5:59","Injury collisions",55,83,64,0
"November","2010","Monday","6:00 to 8:59","Fatal collisions",10,17,3,11
"November","2010","Monday","6:00 to 8:59","Injury collisions",374,627,452,0
"November","2010","Monday","9:00 to 11:59","Fatal collisions",3,6,5,3
"November","2010","Monday","9:00 to 11:59","Injury collisions",251,460,328,0
"November","2010","Monday","12:00 to 14:59","Fatal collisions",2,4,2,2
"November","2010","Monday","12:00 to 14:59","Injury collisions",307,553,399,0
"November","2010","Monday","15:00 to 17:59","Fatal collisions",9,13,9,10
"November","2010","Monday","15:00 to 17:59","Injury collisions",403,778,529,0
"November","2010","Monday","18:00 to 20:59","Fatal collisions",5,9,3,5
"November","2010","Monday","18:00 to 20:59","Injury collisions",284,495,400,0
"November","2010","Monday","21:00 to 23:59","Fatal collisions",1,2,0,1
"November","2010","Monday","21:00 to 23:59","Injury collisions",108,168,158,0
"November","2010","Tuesday","Midnight to 2:59","Fatal collisions",0,0,0,0
"November","2010","Tuesday","Midnight to 2:59","Injury collisions",34,44,47,0
"November","2010","Tuesday","3:00 to 5:59","Fatal collisions",1,4,1,1
"November","2010","Tuesday","3:00 to 5:59","Injury collisions",36,57,46,0
"November","2010","Tuesday","6:00 to 8:59","Fatal collisions",3,8,0,3
"November","2010","Tuesday","6:00 to 8:59","Injury collisions",329,612,413,0
"November","2010","Tuesday","9:00 to 11:59","Fatal collisions",1,2,2,1
"November","2010","Tuesday","9:00 to 11:59","Injury collisions",275,521,374,0
"November","2010","Tuesday","12:00 to 14:59","Fatal collisions",5,9,2,5
"November","2010","Tuesday","12:00 to 14:59","Injury collisions",291,548,398,0
"November","2010","Tuesday","15:00 to 17:59","Fatal collisions",6,12,5,6
"November","2010","Tuesday","15:00 to 17:59","Injury collisions",536,1000,717,0
"November","2010","Tuesday","18:00 to 20:59","Fatal collisions",2,2,1,3
"November","2010","Tuesday","18:00 to 20:59","Injury collisions",320,533,423,0
"November","2010","Tuesday","21:00 to 23:59","Fatal collisions",3,4,4,3
"November","2010","Tuesday","21:00 to 23:59","Injury collisions",138,222,189,0
"November","2010","Wednesday","Midnight to 2:59","Fatal collisions",1,1,1,1
"November","2010","Wednesday","Midnight to 2:59","Injury collisions",30,44,38,0
"November","2010","Wednesday","3:00 to 5:59","Fatal collisions",2,2,3,3
"November","2010","Wednesday","3:00 to 5:59","Injury collisions",23,40,28,0
"November","2010","Wednesday","6:00 to 8:59","Fatal collisions",1,2,1,1
"November","2010","Wednesday","6:00 to 8:59","Injury collisions",289,513,375,0
"November","2010","Wednesday","9:00 to 11:59","Fatal collisions",5,7,6,6
"November","2010","Wednesday","9:00 to 11:59","Injury collisions",217,397,278,0
"November","2010","Wednesday","12:00 to 14:59","Fatal collisions",4,5,1,4
"November","2010","Wednesday","12:00 to 14:59","Injury collisions",245,447,330,0
"November","2010","Wednesday","15:00 to 17:59","Fatal collisions",3,6,3,3
"November","2010","Wednesday","15:00 to 17:59","Injury collisions",411,779,552,0
"November","2010","Wednesday","18:00 to 20:59","Fatal collisions",3,4,0,3
"November","2010","Wednesday","18:00 to 20:59","Injury collisions",236,425,318,0
"November","2010","Wednesday","21:00 to 23:59","Fatal collisions",2,4,3,2
"November","2010","Wednesday","21:00 to 23:59","Injury collisions",99,178,150,0
"November","2010","Thursday","Midnight to 2:59","Fatal collisions",1,1,0,1
"November","2010","Thursday","Midnight to 2:59","Injury collisions",46,63,64,0
"November","2010","Thursday","3:00 to 5:59","Fatal collisions",0,0,0,0
"November","2010","Thursday","3:00 to 5:59","Injury collisions",38,54,42,0
"November","2010","Thursday","6:00 to 8:59","Fatal collisions",3,7,1,3
"November","2010","Thursday","6:00 to 8:59","Injury collisions",214,377,273,0
"November","2010","Thursday","9:00 to 11:59","Fatal collisions",4,8,2,4
"November","2010","Thursday","9:00 to 11:59","Injury collisions",205,380,278,0
"November","2010","Thursday","12:00 to 14:59","Fatal collisions",2,3,1,2
"November","2010","Thursday","12:00 to 14:59","Injury collisions",266,489,342,0
"November","2010","Thursday","15:00 to 17:59","Fatal collisions",5,9,1,5
"November","2010","Thursday","15:00 to 17:59","Injury collisions",372,724,495,0
"November","2010","Thursday","18:00 to 20:59","Fatal collisions",2,3,2,2
"November","2010","Thursday","18:00 to 20:59","Injury collisions",277,456,353,0
"November","2010","Thursday","21:00 to 23:59","Fatal collisions",2,4,1,2
"November","2010","Thursday","21:00 to 23:59","Injury collisions",145,242,186,0
"November","2010","Friday","Midnight to 2:59","Fatal collisions",0,0,0,0
"November","2010","Friday","Midnight to 2:59","Injury collisions",58,83,80,0
"November","2010","Friday","3:00 to 5:59","Fatal collisions",1,1,1,1
"November","2010","Friday","3:00 to 5:59","Injury collisions",75,104,89,0
"November","2010","Friday","6:00 to 8:59","Fatal collisions",5,10,6,5
"November","2010","Friday","6:00 to 8:59","Injury collisions",239,423,288,0
"November","2010","Friday","9:00 to 11:59","Fatal collisions",3,5,0,3
"November","2010","Friday","9:00 to 11:59","Injury collisions",233,424,297,0
"November","2010","Friday","12:00 to 14:59","Fatal collisions",4,9,8,5
"November","2010","Friday","12:00 to 14:59","Injury collisions",329,611,432,0
"November","2010","Friday","15:00 to 17:59","Fatal collisions",5,9,6,7
"November","2010","Friday","15:00 to 17:59","Injury collisions",448,870,593,0
"November","2010","Friday","18:00 to 20:59","Fatal collisions",7,12,5,7
"November","2010","Friday","18:00 to 20:59","Injury collisions",279,493,419,0
"November","2010","Friday","21:00 to 23:59","Fatal collisions",4,5,1,7
"November","2010","Friday","21:00 to 23:59","Injury collisions",151,238,222,0
"November","2010","Saturday","Midnight to 2:59","Fatal collisions",7,9,6,7
"November","2010","Saturday","Midnight to 2:59","Injury collisions",105,152,161,0
"November","2010","Saturday","3:00 to 5:59","Fatal collisions",2,3,2,2
"November","2010","Saturday","3:00 to 5:59","Injury collisions",69,88,94,0
"November","2010","Saturday","6:00 to 8:59","Fatal collisions",2,4,3,2
"November","2010","Saturday","6:00 to 8:59","Injury collisions",117,170,145,0
"November","2010","Saturday","9:00 to 11:59","Fatal collisions",3,5,5,5
"November","2010","Saturday","9:00 to 11:59","Injury collisions",221,394,322,0
"November","2010","Saturday","12:00 to 14:59","Fatal collisions",2,2,2,2
"November","2010","Saturday","12:00 to 14:59","Injury collisions",301,535,445,0
"November","2010","Saturday","15:00 to 17:59","Fatal collisions",2,4,3,2
"November","2010","Saturday","15:00 to 17:59","Injury collisions",267,489,354,0
"November","2010","Saturday","18:00 to 20:59","Fatal collisions",3,5,4,5
"November","2010","Saturday","18:00 to 20:59","Injury collisions",196,325,311,0
"November","2010","Saturday","21:00 to 23:59","Fatal collisions",5,8,9,5
"November","2010","Saturday","21:00 to 23:59","Injury collisions",106,169,156,0
"November","2010","Sunday","Midnight to 2:59","Fatal collisions",4,4,2,4
"November","2010","Sunday","Midnight to 2:59","Injury collisions",112,159,164,0
"November","2010","Sunday","3:00 to 5:59","Fatal collisions",5,5,0,6
"November","2010","Sunday","3:00 to 5:59","Injury collisions",67,95,94,0
"November","2010","Sunday","6:00 to 8:59","Fatal collisions",2,4,3,4
"November","2010","Sunday","6:00 to 8:59","Injury collisions",69,95,94,0
"November","2010","Sunday","9:00 to 11:59","Fatal collisions",3,6,8,5
"November","2010","Sunday","9:00 to 11:59","Injury collisions",115,199,171,0
"November","2010","Sunday","12:00 to 14:59","Fatal collisions",2,4,2,7
"November","2010","Sunday","12:00 to 14:59","Injury collisions",236,417,323,0
"November","2010","Sunday","15:00 to 17:59","Fatal collisions",3,4,5,3
"November","2010","Sunday","15:00 to 17:59","Injury collisions",240,417,323,0
"November","2010","Sunday","18:00 to 20:59","Fatal collisions",3,3,0,4
"November","2010","Sunday","18:00 to 20:59","Injury collisions",133,221,198,0
"November","2010","Sunday","21:00 to 23:59","Fatal collisions",1,1,0,1
"November","2010","Sunday","21:00 to 23:59","Injury collisions",72,103,106,0
"November","2010","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"November","2010","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"November","2010","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"November","2010","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"November","2010","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"November","2010","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"November","2010","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"November","2010","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"November","2010","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"November","2010","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"November","2010","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"November","2010","Unknown","15:00 to 17:59","Injury collisions",1,2,1,0
"November","2010","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"November","2010","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"November","2010","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"November","2010","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"November","2011","Total","Midnight to 2:59","Fatal collisions",12,18,11,15
"November","2011","Total","Midnight to 2:59","Injury collisions",413,574,553,0
"November","2011","Total","3:00 to 5:59","Fatal collisions",12,17,12,13
"November","2011","Total","3:00 to 5:59","Injury collisions",307,442,402,0
"November","2011","Total","6:00 to 8:59","Fatal collisions",17,29,14,17
"November","2011","Total","6:00 to 8:59","Injury collisions",1565,2677,2009,0
"November","2011","Total","9:00 to 11:59","Fatal collisions",22,36,14,24
"November","2011","Total","9:00 to 11:59","Injury collisions",1526,2713,1998,0
"November","2011","Total","12:00 to 14:59","Fatal collisions",25,46,17,28
"November","2011","Total","12:00 to 14:59","Injury collisions",1833,3344,2461,0
"November","2011","Total","15:00 to 17:59","Fatal collisions",21,39,18,24
"November","2011","Total","15:00 to 17:59","Injury collisions",2919,5455,3904,0
"November","2011","Total","18:00 to 20:59","Fatal collisions",30,47,17,32
"November","2011","Total","18:00 to 20:59","Injury collisions",1770,3082,2440,0
"November","2011","Total","21:00 to 23:59","Fatal collisions",16,24,13,17
"November","2011","Total","21:00 to 23:59","Injury collisions",780,1216,1103,0
"November","2011","Monday","Midnight to 2:59","Fatal collisions",1,1,0,1
"November","2011","Monday","Midnight to 2:59","Injury collisions",31,48,35,0
"November","2011","Monday","3:00 to 5:59","Fatal collisions",0,0,0,0
"November","2011","Monday","3:00 to 5:59","Injury collisions",29,42,40,0
"November","2011","Monday","6:00 to 8:59","Fatal collisions",2,3,1,2
"November","2011","Monday","6:00 to 8:59","Injury collisions",222,390,279,0
"November","2011","Monday","9:00 to 11:59","Fatal collisions",8,14,5,9
"November","2011","Monday","9:00 to 11:59","Injury collisions",193,341,235,0
"November","2011","Monday","12:00 to 14:59","Fatal collisions",3,6,1,5
"November","2011","Monday","12:00 to 14:59","Injury collisions",216,393,277,0
"November","2011","Monday","15:00 to 17:59","Fatal collisions",2,2,1,2
"November","2011","Monday","15:00 to 17:59","Injury collisions",440,809,550,0
"November","2011","Monday","18:00 to 20:59","Fatal collisions",2,2,1,2
"November","2011","Monday","18:00 to 20:59","Injury collisions",197,355,269,0
"November","2011","Monday","21:00 to 23:59","Fatal collisions",2,4,4,2
"November","2011","Monday","21:00 to 23:59","Injury collisions",72,116,98,0
"November","2011","Tuesday","Midnight to 2:59","Fatal collisions",1,3,0,1
"November","2011","Tuesday","Midnight to 2:59","Injury collisions",35,41,45,0
"November","2011","Tuesday","3:00 to 5:59","Fatal collisions",0,0,0,0
"November","2011","Tuesday","3:00 to 5:59","Injury collisions",29,44,35,0
"November","2011","Tuesday","6:00 to 8:59","Fatal collisions",4,8,9,4
"November","2011","Tuesday","6:00 to 8:59","Injury collisions",346,603,448,0
"November","2011","Tuesday","9:00 to 11:59","Fatal collisions",3,4,1,4
"November","2011","Tuesday","9:00 to 11:59","Injury collisions",231,414,301,0
"November","2011","Tuesday","12:00 to 14:59","Fatal collisions",4,9,2,4
"November","2011","Tuesday","12:00 to 14:59","Injury collisions",294,542,388,0
"November","2011","Tuesday","15:00 to 17:59","Fatal collisions",8,16,5,8
"November","2011","Tuesday","15:00 to 17:59","Injury collisions",524,971,670,0
"November","2011","Tuesday","18:00 to 20:59","Fatal collisions",6,8,6,6
"November","2011","Tuesday","18:00 to 20:59","Injury collisions",311,534,419,0
"November","2011","Tuesday","21:00 to 23:59","Fatal collisions",0,0,0,0
"November","2011","Tuesday","21:00 to 23:59","Injury collisions",134,211,176,0
"November","2011","Wednesday","Midnight to 2:59","Fatal collisions",1,1,2,1
"November","2011","Wednesday","Midnight to 2:59","Injury collisions",36,45,44,0
"November","2011","Wednesday","3:00 to 5:59","Fatal collisions",5,7,9,5
"November","2011","Wednesday","3:00 to 5:59","Injury collisions",46,67,56,0
"November","2011","Wednesday","6:00 to 8:59","Fatal collisions",0,0,0,0
"November","2011","Wednesday","6:00 to 8:59","Injury collisions",386,681,505,0
"November","2011","Wednesday","9:00 to 11:59","Fatal collisions",1,2,0,1
"November","2011","Wednesday","9:00 to 11:59","Injury collisions",301,535,388,0
