
,,,,Measures,"Number of collisions","Number of vehicles","Number of injured","Number of fatalities"
"Month","Year","Day of Week","Collision Hour","Collision Sev",
"January","2011","Thursday","12:00 to 14:59","Injury collisions",269,516,368,0
"January","2011","Thursday","15:00 to 17:59","Fatal collisions",1,2,1,1
"January","2011","Thursday","15:00 to 17:59","Injury collisions",353,659,481,0
"January","2011","Thursday","18:00 to 20:59","Fatal collisions",0,0,0,0
"January","2011","Thursday","18:00 to 20:59","Injury collisions",238,416,323,0
"January","2011","Thursday","21:00 to 23:59","Fatal collisions",3,5,2,3
"January","2011","Thursday","21:00 to 23:59","Injury collisions",95,149,130,0
"January","2011","Friday","Midnight to 2:59","Fatal collisions",0,0,0,0
"January","2011","Friday","Midnight to 2:59","Injury collisions",44,66,55,0
"January","2011","Friday","3:00 to 5:59","Fatal collisions",3,3,1,3
"January","2011","Friday","3:00 to 5:59","Injury collisions",57,77,72,0
"January","2011","Friday","6:00 to 8:59","Fatal collisions",2,4,1,2
"January","2011","Friday","6:00 to 8:59","Injury collisions",246,433,325,0
"January","2011","Friday","9:00 to 11:59","Fatal collisions",4,45,12,4
"January","2011","Friday","9:00 to 11:59","Injury collisions",277,482,375,0
"January","2011","Friday","12:00 to 14:59","Fatal collisions",3,7,6,3
"January","2011","Friday","12:00 to 14:59","Injury collisions",341,629,470,0
"January","2011","Friday","15:00 to 17:59","Fatal collisions",4,9,9,5
"January","2011","Friday","15:00 to 17:59","Injury collisions",429,831,588,0
"January","2011","Friday","18:00 to 20:59","Fatal collisions",4,7,2,4
"January","2011","Friday","18:00 to 20:59","Injury collisions",277,494,402,0
"January","2011","Friday","21:00 to 23:59","Fatal collisions",1,2,3,1
"January","2011","Friday","21:00 to 23:59","Injury collisions",120,201,177,0
"January","2011","Saturday","Midnight to 2:59","Fatal collisions",3,4,3,3
"January","2011","Saturday","Midnight to 2:59","Injury collisions",138,213,186,0
"January","2011","Saturday","3:00 to 5:59","Fatal collisions",1,1,1,1
"January","2011","Saturday","3:00 to 5:59","Injury collisions",89,131,132,0
"January","2011","Saturday","6:00 to 8:59","Fatal collisions",1,2,1,1
"January","2011","Saturday","6:00 to 8:59","Injury collisions",128,198,189,0
"January","2011","Saturday","9:00 to 11:59","Fatal collisions",4,6,4,4
"January","2011","Saturday","9:00 to 11:59","Injury collisions",289,461,408,0
"January","2011","Saturday","12:00 to 14:59","Fatal collisions",4,20,21,5
"January","2011","Saturday","12:00 to 14:59","Injury collisions",341,648,503,0
"January","2011","Saturday","15:00 to 17:59","Fatal collisions",2,4,2,2
"January","2011","Saturday","15:00 to 17:59","Injury collisions",319,584,454,0
"January","2011","Saturday","18:00 to 20:59","Fatal collisions",5,7,6,5
"January","2011","Saturday","18:00 to 20:59","Injury collisions",214,349,314,0
"January","2011","Saturday","21:00 to 23:59","Fatal collisions",1,3,1,1
"January","2011","Saturday","21:00 to 23:59","Injury collisions",134,211,223,0
"January","2011","Sunday","Midnight to 2:59","Fatal collisions",3,4,2,3
"January","2011","Sunday","Midnight to 2:59","Injury collisions",109,152,163,0
"January","2011","Sunday","3:00 to 5:59","Fatal collisions",2,2,0,2
"January","2011","Sunday","3:00 to 5:59","Injury collisions",58,76,80,0
"January","2011","Sunday","6:00 to 8:59","Fatal collisions",1,1,0,1
"January","2011","Sunday","6:00 to 8:59","Injury collisions",68,96,86,0
"January","2011","Sunday","9:00 to 11:59","Fatal collisions",1,2,3,2
"January","2011","Sunday","9:00 to 11:59","Injury collisions",193,328,296,0
"January","2011","Sunday","12:00 to 14:59","Fatal collisions",3,6,4,5
"January","2011","Sunday","12:00 to 14:59","Injury collisions",288,542,429,0
"January","2011","Sunday","15:00 to 17:59","Fatal collisions",4,5,2,5
"January","2011","Sunday","15:00 to 17:59","Injury collisions",254,461,376,0
"January","2011","Sunday","18:00 to 20:59","Fatal collisions",4,9,6,4
"January","2011","Sunday","18:00 to 20:59","Injury collisions",177,303,256,0
"January","2011","Sunday","21:00 to 23:59","Fatal collisions",1,2,2,1
"January","2011","Sunday","21:00 to 23:59","Injury collisions",85,123,113,0
"January","2011","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"January","2011","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"January","2011","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"January","2011","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"January","2011","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"January","2011","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"January","2011","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"January","2011","Unknown","9:00 to 11:59","Injury collisions",1,2,1,0
"January","2011","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"January","2011","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"January","2011","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"January","2011","Unknown","15:00 to 17:59","Injury collisions",0,0,0,0
"January","2011","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"January","2011","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"January","2011","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"January","2011","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"January","2012","Total","Midnight to 2:59","Fatal collisions",14,27,3,14
"January","2012","Total","Midnight to 2:59","Injury collisions",377,548,522,0
"January","2012","Total","3:00 to 5:59","Fatal collisions",9,13,6,12
"January","2012","Total","3:00 to 5:59","Injury collisions",280,385,352,0
"January","2012","Total","6:00 to 8:59","Fatal collisions",10,18,10,11
"January","2012","Total","6:00 to 8:59","Injury collisions",1466,2565,1825,0
"January","2012","Total","9:00 to 11:59","Fatal collisions",19,64,25,20
"January","2012","Total","9:00 to 11:59","Injury collisions",1586,2801,2101,0
"January","2012","Total","12:00 to 14:59","Fatal collisions",16,36,20,22
"January","2012","Total","12:00 to 14:59","Injury collisions",2015,3687,2763,0
"January","2012","Total","15:00 to 17:59","Fatal collisions",21,33,17,22
"January","2012","Total","15:00 to 17:59","Injury collisions",2373,4413,3207,0
"January","2012","Total","18:00 to 20:59","Fatal collisions",26,39,24,29
"January","2012","Total","18:00 to 20:59","Injury collisions",1485,2534,2052,0
"January","2012","Total","21:00 to 23:59","Fatal collisions",15,23,8,17
"January","2012","Total","21:00 to 23:59","Injury collisions",765,1193,1034,0
"January","2012","Monday","Midnight to 2:59","Fatal collisions",1,1,0,1
"January","2012","Monday","Midnight to 2:59","Injury collisions",38,51,48,0
"January","2012","Monday","3:00 to 5:59","Fatal collisions",1,1,1,1
"January","2012","Monday","3:00 to 5:59","Injury collisions",34,49,48,0
"January","2012","Monday","6:00 to 8:59","Fatal collisions",0,0,0,0
"January","2012","Monday","6:00 to 8:59","Injury collisions",281,520,365,0
"January","2012","Monday","9:00 to 11:59","Fatal collisions",4,8,3,4
"January","2012","Monday","9:00 to 11:59","Injury collisions",233,404,285,0
"January","2012","Monday","12:00 to 14:59","Fatal collisions",1,5,1,1
"January","2012","Monday","12:00 to 14:59","Injury collisions",317,577,427,0
