
,,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"Month","Year","Road Class I","Speed limit","Pedestrians",
"November","2016","Rural","100 km per hour","Collisions with 2 pedestrians",5,12,0
"November","2016","Rural","100 km per hour","Collisions with 3 or more pedestrians",1,1,0
"November","2016","Rural","110 km per hour","Collisions with 0 pedestrians",56,75,3
"November","2016","Rural","110 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2016","Rural","110 km per hour","Collisions with 2 pedestrians",1,0,1
"November","2016","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2016","Rural","Unknown","Collisions with 0 pedestrians",105,139,5
"November","2016","Rural","Unknown","Collisions with 1 pedestrian",9,10,1
"November","2016","Rural","Unknown","Collisions with 2 pedestrians",1,2,0
"November","2016","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"November","2016","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",0,0,0
"November","2016","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"November","2016","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2016","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2016","Unknown","40 km per hour","Collisions with 0 pedestrians",2,2,0
"November","2016","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2016","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2016","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2016","Unknown","50 km per hour","Collisions with 0 pedestrians",8,11,0
"November","2016","Unknown","50 km per hour","Collisions with 1 pedestrian",2,2,0
"November","2016","Unknown","50 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2016","Unknown","50 km per hour","Collisions with 3 or more pedestrians",1,1,0
"November","2016","Unknown","60 km per hour","Collisions with 0 pedestrians",2,2,0
"November","2016","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2016","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2016","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2016","Unknown","70 km per hour","Collisions with 0 pedestrians",8,15,0
"November","2016","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2016","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2016","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2016","Unknown","80 km per hour","Collisions with 0 pedestrians",4,5,0
"November","2016","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2016","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2016","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2016","Unknown","90 km per hour","Collisions with 0 pedestrians",4,5,1
"November","2016","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2016","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2016","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2016","Unknown","100 km per hour","Collisions with 0 pedestrians",5,6,0
"November","2016","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2016","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2016","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2016","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"November","2016","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2016","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2016","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2016","Unknown","Unknown","Collisions with 0 pedestrians",50,62,0
"November","2016","Unknown","Unknown","Collisions with 1 pedestrian",9,9,0
"November","2016","Unknown","Unknown","Collisions with 2 pedestrians",0,0,0
"November","2016","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",94,117,2
"November","2017","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",46,47,0
"November","2017","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",3,5,0
"November","2017","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Urban","40 km per hour","Collisions with 0 pedestrians",232,299,1
"November","2017","Urban","40 km per hour","Collisions with 1 pedestrian",92,94,0
"November","2017","Urban","40 km per hour","Collisions with 2 pedestrians",3,4,0
"November","2017","Urban","40 km per hour","Collisions with 3 or more pedestrians",1,3,0
"November","2017","Urban","50 km per hour","Collisions with 0 pedestrians",2833,3812,7
"November","2017","Urban","50 km per hour","Collisions with 1 pedestrian",668,673,11
"November","2017","Urban","50 km per hour","Collisions with 2 pedestrians",36,60,1
"November","2017","Urban","50 km per hour","Collisions with 3 or more pedestrians",4,4,0
"November","2017","Urban","60 km per hour","Collisions with 0 pedestrians",1099,1555,4
"November","2017","Urban","60 km per hour","Collisions with 1 pedestrian",119,115,7
"November","2017","Urban","60 km per hour","Collisions with 2 pedestrians",5,9,0
"November","2017","Urban","60 km per hour","Collisions with 3 or more pedestrians",2,2,0
"November","2017","Urban","70 km per hour","Collisions with 0 pedestrians",242,335,2
"November","2017","Urban","70 km per hour","Collisions with 1 pedestrian",8,8,1
"November","2017","Urban","70 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Urban","80 km per hour","Collisions with 0 pedestrians",132,185,2
"November","2017","Urban","80 km per hour","Collisions with 1 pedestrian",5,9,0
"November","2017","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Urban","90 km per hour","Collisions with 0 pedestrians",66,96,1
"November","2017","Urban","90 km per hour","Collisions with 1 pedestrian",1,1,0
"November","2017","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Urban","100 km per hour","Collisions with 0 pedestrians",97,131,2
"November","2017","Urban","100 km per hour","Collisions with 1 pedestrian",1,2,0
"November","2017","Urban","100 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Urban","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Urban","110 km per hour","Collisions with 0 pedestrians",2,2,0
"November","2017","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2017","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Urban","Unknown","Collisions with 0 pedestrians",360,500,2
"November","2017","Urban","Unknown","Collisions with 1 pedestrian",135,135,1
"November","2017","Urban","Unknown","Collisions with 2 pedestrians",5,7,0
"November","2017","Urban","Unknown","Collisions with 3 or more pedestrians",2,2,0
"November","2017","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",12,14,2
"November","2017","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"November","2017","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Rural","40 km per hour","Collisions with 0 pedestrians",11,20,0
"November","2017","Rural","40 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2017","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Rural","50 km per hour","Collisions with 0 pedestrians",143,198,3
"November","2017","Rural","50 km per hour","Collisions with 1 pedestrian",2,1,1
"November","2017","Rural","50 km per hour","Collisions with 2 pedestrians",4,10,0
"November","2017","Rural","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Rural","60 km per hour","Collisions with 0 pedestrians",71,103,1
"November","2017","Rural","60 km per hour","Collisions with 1 pedestrian",1,1,0
"November","2017","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Rural","70 km per hour","Collisions with 0 pedestrians",280,372,6
"November","2017","Rural","70 km per hour","Collisions with 1 pedestrian",8,6,2
"November","2017","Rural","70 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Rural","80 km per hour","Collisions with 0 pedestrians",730,995,26
"November","2017","Rural","80 km per hour","Collisions with 1 pedestrian",9,7,2
"November","2017","Rural","80 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Rural","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Rural","90 km per hour","Collisions with 0 pedestrians",554,731,25
"November","2017","Rural","90 km per hour","Collisions with 1 pedestrian",6,5,1
"November","2017","Rural","90 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Rural","100 km per hour","Collisions with 0 pedestrians",741,1050,9
"November","2017","Rural","100 km per hour","Collisions with 1 pedestrian",5,10,1
"November","2017","Rural","100 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Rural","100 km per hour","Collisions with 3 or more pedestrians",1,1,0
"November","2017","Rural","110 km per hour","Collisions with 0 pedestrians",45,63,2
"November","2017","Rural","110 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2017","Rural","110 km per hour","Collisions with 2 pedestrians",1,0,1
"November","2017","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Rural","Unknown","Collisions with 0 pedestrians",90,116,3
"November","2017","Rural","Unknown","Collisions with 1 pedestrian",5,5,0
"November","2017","Rural","Unknown","Collisions with 2 pedestrians",0,0,0
"November","2017","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",0,0,0
"November","2017","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"November","2017","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Unknown","40 km per hour","Collisions with 0 pedestrians",2,2,0
"November","2017","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2017","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Unknown","50 km per hour","Collisions with 0 pedestrians",12,19,0
"November","2017","Unknown","50 km per hour","Collisions with 1 pedestrian",3,3,0
"November","2017","Unknown","50 km per hour","Collisions with 2 pedestrians",1,2,0
"November","2017","Unknown","50 km per hour","Collisions with 3 or more pedestrians",1,1,0
"November","2017","Unknown","60 km per hour","Collisions with 0 pedestrians",5,6,0
"November","2017","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2017","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Unknown","70 km per hour","Collisions with 0 pedestrians",3,5,0
"November","2017","Unknown","70 km per hour","Collisions with 1 pedestrian",1,0,1
"November","2017","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Unknown","80 km per hour","Collisions with 0 pedestrians",6,8,0
"November","2017","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2017","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Unknown","90 km per hour","Collisions with 0 pedestrians",8,11,0
"November","2017","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2017","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Unknown","100 km per hour","Collisions with 0 pedestrians",3,3,0
"November","2017","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2017","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Unknown","110 km per hour","Collisions with 0 pedestrians",1,1,0
"November","2017","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2017","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2017","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2017","Unknown","Unknown","Collisions with 0 pedestrians",51,60,0
"November","2017","Unknown","Unknown","Collisions with 1 pedestrian",16,16,0
"November","2017","Unknown","Unknown","Collisions with 2 pedestrians",1,2,0
"November","2017","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",89,102,0
"November","2018","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",36,35,1
"November","2018","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",3,5,0
"November","2018","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Urban","40 km per hour","Collisions with 0 pedestrians",197,281,0
"November","2018","Urban","40 km per hour","Collisions with 1 pedestrian",132,139,2
"November","2018","Urban","40 km per hour","Collisions with 2 pedestrians",4,7,0
"November","2018","Urban","40 km per hour","Collisions with 3 or more pedestrians",1,3,0
"November","2018","Urban","50 km per hour","Collisions with 0 pedestrians",2774,3741,12
"November","2018","Urban","50 km per hour","Collisions with 1 pedestrian",615,606,18
"November","2018","Urban","50 km per hour","Collisions with 2 pedestrians",53,86,0
"November","2018","Urban","50 km per hour","Collisions with 3 or more pedestrians",10,12,0
"November","2018","Urban","60 km per hour","Collisions with 0 pedestrians",1091,1525,5
"November","2018","Urban","60 km per hour","Collisions with 1 pedestrian",153,150,6
"November","2018","Urban","60 km per hour","Collisions with 2 pedestrians",11,19,1
"November","2018","Urban","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Urban","70 km per hour","Collisions with 0 pedestrians",203,306,1
"November","2018","Urban","70 km per hour","Collisions with 1 pedestrian",8,8,0
"November","2018","Urban","70 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2018","Urban","70 km per hour","Collisions with 3 or more pedestrians",1,2,0
"November","2018","Urban","80 km per hour","Collisions with 0 pedestrians",128,170,1
"November","2018","Urban","80 km per hour","Collisions with 1 pedestrian",3,2,1
"November","2018","Urban","80 km per hour","Collisions with 2 pedestrians",3,4,0
"November","2018","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Urban","90 km per hour","Collisions with 0 pedestrians",61,75,2
"November","2018","Urban","90 km per hour","Collisions with 1 pedestrian",1,1,0
"November","2018","Urban","90 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2018","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Urban","100 km per hour","Collisions with 0 pedestrians",109,152,1
"November","2018","Urban","100 km per hour","Collisions with 1 pedestrian",2,3,0
"November","2018","Urban","100 km per hour","Collisions with 2 pedestrians",3,5,0
"November","2018","Urban","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Urban","110 km per hour","Collisions with 0 pedestrians",3,3,0
"November","2018","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2018","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Urban","Unknown","Collisions with 0 pedestrians",383,491,3
"November","2018","Urban","Unknown","Collisions with 1 pedestrian",151,154,2
"November","2018","Urban","Unknown","Collisions with 2 pedestrians",10,20,0
"November","2018","Urban","Unknown","Collisions with 3 or more pedestrians",1,1,0
"November","2018","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",7,8,0
"November","2018","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"November","2018","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2018","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Rural","40 km per hour","Collisions with 0 pedestrians",7,12,1
"November","2018","Rural","40 km per hour","Collisions with 1 pedestrian",1,1,0
"November","2018","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Rural","50 km per hour","Collisions with 0 pedestrians",137,176,2
"November","2018","Rural","50 km per hour","Collisions with 1 pedestrian",8,8,0
"November","2018","Rural","50 km per hour","Collisions with 2 pedestrians",8,10,0
"November","2018","Rural","50 km per hour","Collisions with 3 or more pedestrians",1,1,0
"November","2018","Rural","60 km per hour","Collisions with 0 pedestrians",42,64,0
"November","2018","Rural","60 km per hour","Collisions with 1 pedestrian",4,4,0
"November","2018","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Rural","70 km per hour","Collisions with 0 pedestrians",265,383,2
"November","2018","Rural","70 km per hour","Collisions with 1 pedestrian",23,22,4
"November","2018","Rural","70 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2018","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Rural","80 km per hour","Collisions with 0 pedestrians",737,1032,33
"November","2018","Rural","80 km per hour","Collisions with 1 pedestrian",17,17,3
"November","2018","Rural","80 km per hour","Collisions with 2 pedestrians",4,6,0
"November","2018","Rural","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Rural","90 km per hour","Collisions with 0 pedestrians",553,726,18
"November","2018","Rural","90 km per hour","Collisions with 1 pedestrian",5,5,3
"November","2018","Rural","90 km per hour","Collisions with 2 pedestrians",2,5,0
"November","2018","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Rural","100 km per hour","Collisions with 0 pedestrians",774,1028,10
"November","2018","Rural","100 km per hour","Collisions with 1 pedestrian",5,7,2
"November","2018","Rural","100 km per hour","Collisions with 2 pedestrians",4,6,0
"November","2018","Rural","100 km per hour","Collisions with 3 or more pedestrians",1,3,0
"November","2018","Rural","110 km per hour","Collisions with 0 pedestrians",67,82,7
"November","2018","Rural","110 km per hour","Collisions with 1 pedestrian",1,2,0
"November","2018","Rural","110 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2018","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Rural","Unknown","Collisions with 0 pedestrians",105,148,2
"November","2018","Rural","Unknown","Collisions with 1 pedestrian",8,12,1
"November","2018","Rural","Unknown","Collisions with 2 pedestrians",1,2,0
"November","2018","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",2,2,0
"November","2018","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2018","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"November","2018","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2018","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Unknown","50 km per hour","Collisions with 0 pedestrians",17,20,0
"November","2018","Unknown","50 km per hour","Collisions with 1 pedestrian",6,6,0
"November","2018","Unknown","50 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2018","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Unknown","60 km per hour","Collisions with 0 pedestrians",2,2,0
"November","2018","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2018","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Unknown","70 km per hour","Collisions with 0 pedestrians",4,4,0
"November","2018","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2018","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Unknown","80 km per hour","Collisions with 0 pedestrians",2,2,0
"November","2018","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2018","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Unknown","90 km per hour","Collisions with 0 pedestrians",6,12,0
"November","2018","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2018","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Unknown","100 km per hour","Collisions with 0 pedestrians",4,5,0
"November","2018","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2018","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"November","2018","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2018","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2018","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2018","Unknown","Unknown","Collisions with 0 pedestrians",57,71,0
"November","2018","Unknown","Unknown","Collisions with 1 pedestrian",21,21,0
"November","2018","Unknown","Unknown","Collisions with 2 pedestrians",0,0,0
"November","2018","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",72,90,0
"November","2019","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",41,41,1
"November","2019","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",4,8,0
"November","2019","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Urban","40 km per hour","Collisions with 0 pedestrians",192,233,3
"November","2019","Urban","40 km per hour","Collisions with 1 pedestrian",107,109,1
"November","2019","Urban","40 km per hour","Collisions with 2 pedestrians",6,7,0
"November","2019","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Urban","50 km per hour","Collisions with 0 pedestrians",2479,3391,18
"November","2019","Urban","50 km per hour","Collisions with 1 pedestrian",519,515,18
"November","2019","Urban","50 km per hour","Collisions with 2 pedestrians",47,74,2
"November","2019","Urban","50 km per hour","Collisions with 3 or more pedestrians",13,26,0
"November","2019","Urban","60 km per hour","Collisions with 0 pedestrians",860,1241,3
"November","2019","Urban","60 km per hour","Collisions with 1 pedestrian",119,118,3
"November","2019","Urban","60 km per hour","Collisions with 2 pedestrians",9,14,0
"November","2019","Urban","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Urban","70 km per hour","Collisions with 0 pedestrians",203,282,1
"November","2019","Urban","70 km per hour","Collisions with 1 pedestrian",4,4,0
"November","2019","Urban","70 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2019","Urban","70 km per hour","Collisions with 3 or more pedestrians",1,2,0
"November","2019","Urban","80 km per hour","Collisions with 0 pedestrians",113,158,2
"November","2019","Urban","80 km per hour","Collisions with 1 pedestrian",1,1,0
"November","2019","Urban","80 km per hour","Collisions with 2 pedestrians",3,4,0
"November","2019","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Urban","90 km per hour","Collisions with 0 pedestrians",68,106,0
"November","2019","Urban","90 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2019","Urban","90 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2019","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Urban","100 km per hour","Collisions with 0 pedestrians",81,105,2
"November","2019","Urban","100 km per hour","Collisions with 1 pedestrian",2,3,0
"November","2019","Urban","100 km per hour","Collisions with 2 pedestrians",3,5,0
"November","2019","Urban","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Urban","110 km per hour","Collisions with 0 pedestrians",2,2,0
"November","2019","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2019","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2019","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Urban","Unknown","Collisions with 0 pedestrians",365,472,3
"November","2019","Urban","Unknown","Collisions with 1 pedestrian",120,124,1
"November","2019","Urban","Unknown","Collisions with 2 pedestrians",8,14,0
"November","2019","Urban","Unknown","Collisions with 3 or more pedestrians",1,1,0
"November","2019","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",8,10,0
"November","2019","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",1,0,1
"November","2019","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2019","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Rural","40 km per hour","Collisions with 0 pedestrians",5,5,0
"November","2019","Rural","40 km per hour","Collisions with 1 pedestrian",1,1,0
"November","2019","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2019","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Rural","50 km per hour","Collisions with 0 pedestrians",123,165,1
"November","2019","Rural","50 km per hour","Collisions with 1 pedestrian",7,8,0
"November","2019","Rural","50 km per hour","Collisions with 2 pedestrians",7,9,0
"November","2019","Rural","50 km per hour","Collisions with 3 or more pedestrians",1,1,0
"November","2019","Rural","60 km per hour","Collisions with 0 pedestrians",49,61,3
"November","2019","Rural","60 km per hour","Collisions with 1 pedestrian",3,3,0
"November","2019","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"November","2019","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Rural","70 km per hour","Collisions with 0 pedestrians",290,396,11
"November","2019","Rural","70 km per hour","Collisions with 1 pedestrian",7,7,1
"November","2019","Rural","70 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2019","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Rural","80 km per hour","Collisions with 0 pedestrians",633,852,26
"November","2019","Rural","80 km per hour","Collisions with 1 pedestrian",14,15,3
"November","2019","Rural","80 km per hour","Collisions with 2 pedestrians",5,10,0
"November","2019","Rural","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Rural","90 km per hour","Collisions with 0 pedestrians",468,649,10
"November","2019","Rural","90 km per hour","Collisions with 1 pedestrian",7,6,3
"November","2019","Rural","90 km per hour","Collisions with 2 pedestrians",2,5,0
"November","2019","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Rural","100 km per hour","Collisions with 0 pedestrians",778,1045,20
"November","2019","Rural","100 km per hour","Collisions with 1 pedestrian",3,5,1
"November","2019","Rural","100 km per hour","Collisions with 2 pedestrians",4,6,0
"November","2019","Rural","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"November","2019","Rural","110 km per hour","Collisions with 0 pedestrians",59,69,4
"November","2019","Rural","110 km per hour","Collisions with 1 pedestrian",0,0,0
"November","2019","Rural","110 km per hour","Collisions with 2 pedestrians",1,1,0
"November","2019","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
